sampleID,siteName,siteID,dateCollected (dd/mm/yy),month,Waterway,timeCollected (hh:mm),highTide (hh:mm),TimeSinceHighTide (hh:mm),tide,collector,latitude..xx.xxxxxx.,longitude..x.xxxxxx.,PlusCode,waterSample,sedimentSample,daysSinceRain,notes,ColiformsNonEC,E.coli,TotalColiforms,entericEnterococci,ESBL,Total_Vancomycin_resistant,Vancomycin_resistant_E.faecilis,method,RIVPACS,MPN
AB18,Brightlingsea harbour,Br_1,11/10/2023,October,Colne,13:10,11:00,,,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,18,84,102,19,NA,NA,NA,membrane filtration,,
AB19,Brightlingsea harbour,Br_1,11/10/2023,October,Colne,09:20,11:00,10:29,,RobF,51.78945,1.01551,Q2Q8+Q6C,1,0,0,,18,34,52,9,NA,NA,NA,membrane filtration,,
AA02,Wivenhoe tidal barrier,Co_1,25/07/2023,July,Colne,12:10,05:20,06:50,flood,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,NC,820,NC,432,NA,NA,NA,membrane filtration,,
AA03,Wivenhoe tidal barrier,Co_1,25/07/2023,July,Colne,12:10,05:20,06:50,flood,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,NC,1016,NC,688,NA,NA,NA,membrane filtration,,
AA04,Wivenhoe tidal barrier,Co_1,25/07/2023,July,Colne,12:10,05:20,06:50,flood,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,NC,728,NC,540,NA,NA,NA,membrane filtration,,
AB13,Wivenhoe tidal barrier,Co_1,11/10/2023,October,Colne,10:41,11:00,12:00,,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,28,52,80,31,NA,NA,NA,membrane filtration,,
AB14,Wivenhoe tidal barrier,Co_1,11/10/2023,October,Colne,14:16,11:00,,,RobF,51.8521142,0.9635436,VX27+RCV,1,0,0,,336,304,640,22,NA,NA,NA,membrane filtration,,
AB42,Colne Barrier,Co_1,08/12/2023,December,Colne,08:09,08:01,,,Nick,51.8521142,0.9635436,VX27+RCV,1,0,0,After heavy rain,NC,NC,NC,NC,NC,3280,3280,membrane filtration,,
AB94,Colne Barrier,Co_1,01/03/2024,March,Colne,15,16.44,,Neap,Nick,51.8521142,0.9635436,VX27+RCV,1,0,,,NC,480,NC,290,NA,NA,NA,membrane filtration,,
AC23,Wivenhoe tidal barrier,Co_1,27/04/2024,April,Colne,14.05,15:10,-1.05,Flood,Nick,51.8521142,0.9635436,VX27+RCV,,,0,Cloudy light winds,1410,0,1410,10,NA,NA,NA,membrane filtration,,
